Zeitstempel: 18.9.2013 14:22:32
Signalquelle: Sample/Hold Verstärker
Modus: AM


Bemerkung: Durchlaufzeit 100s
FM
Frequenz 1490Hz
Richtung min->max
min Amplitude 0.01V
max Amplitude 0.40V

Amplitude in V	S/H-Signal in V
0,065148	0,018616
0,065209	-0,025635
0,065270	0,006104
0,065331	0,006714
0,065392	0,000305
0,065453	-0,024719
0,065514	-0,009155
0,065575	0,014954
0,065636	0,013733
0,065697	-0,018310
0,065758	0,023804
0,065819	0,047302
0,065880	-0,011597
0,065941	-0,007934
0,066002	-0,023498
0,066062	0,018616
0,066123	0,000916
0,066184	0,003357
0,066245	0,011597
0,066306	0,000000
0,066367	-0,018310
0,066428	-0,015259
0,066489	-0,039062
0,066550	-0,059509
0,066611	-0,027771
0,066672	-0,025024
0,066733	-0,027161
0,066794	-0,007019
0,066855	-0,045776
0,066916	-0,016785
0,066977	-0,008545
0,067037	-0,008240
0,067098	-0,058899
0,067159	-0,010071
0,067220	-0,038147
0,067281	-0,037842
0,067342	-0,045471
0,067403	-0,046081
0,067464	-0,040283
0,067525	-0,048218
0,067586	-0,047913
0,067647	-0,041809
0,067708	-0,077515
0,067769	-0,042114
0,067830	-0,043030
0,067891	-0,072021
0,067952	-0,058594
0,068013	-0,064087
0,068073	-0,046997
0,068134	-0,048218
0,068195	-0,074158
0,068256	-0,049133
0,068317	-0,079346
0,068378	-0,086670
0,068439	-0,085144
0,068500	-0,065613
0,068561	-0,083618
0,068622	-0,092468
0,068683	-0,092468
0,068744	-0,103149
0,068805	-0,067139
0,068866	-0,093689
0,068927	-0,123901
0,068987	-0,123901
0,069048	-0,100098
0,069109	-0,091247
0,069170	-0,083618
0,069231	-0,080871
0,069292	-0,097656
0,069353	-0,120239
0,069414	-0,121765
0,069475	-0,130615
0,069536	-0,130920
0,069597	-0,140076
0,069658	-0,072327
0,069719	-0,175171
0,069780	-0,171814
0,069841	-0,098572
0,069902	-0,074463
0,069962	-0,079040
0,070023	-0,101623
0,070084	-0,100098
0,070145	-0,148010
0,070206	-0,124512
0,070267	-0,120544
0,070328	-0,128479
0,070389	-0,130005
0,070450	-0,136719
0,070511	-0,155029
0,070572	-0,123596
0,070633	-0,122375
0,070694	-0,124206
0,070755	-0,115967
0,070816	-0,137634
0,070877	-0,140076
0,070938	-0,137329
0,070998	-0,136719
0,071059	-0,163879
0,071120	-0,145569
0,071181	-0,144348
0,071242	-0,144653
0,071303	-0,134888
0,071364	-0,154114
0,071425	-0,142822
0,071486	-0,146789
0,071547	-0,229797
0,071608	-0,166931
0,071669	-0,182800
0,071730	-0,178528
0,071791	-0,169067
0,071852	-0,154419
0,071913	-0,180359
0,071973	-0,197449
0,072034	-0,192871
0,072095	-0,160522
0,072156	-0,179748
0,072217	-0,177307
0,072278	-0,202637
0,072339	-0,205383
0,072400	-0,199890
0,072461	-0,181885
0,072522	-0,144043
0,072583	-0,140991
0,072644	-0,201111
0,072705	-0,205383
0,072766	-0,219116
0,072827	-0,178223
0,072888	-0,178223
0,072948	-0,165710
0,073009	-0,211182
0,073070	-0,208435
0,073131	-0,204468
0,073192	-0,279541
0,073253	-0,197143
0,073314	-0,239868
0,073375	-0,240784
0,073436	-0,239258
0,073497	-0,200500
0,073558	-0,214233
0,073619	-0,212097
0,073680	-0,208130
0,073741	-0,245666
0,073802	-0,223083
0,073862	-0,245361
0,073923	-0,213318
0,073984	-0,213318
0,074045	-0,212402
0,074106	-0,227966
0,074167	-0,238037
0,074228	-0,223083
0,074289	-0,234680
0,074350	-0,247192
0,074411	-0,236206
0,074472	-0,231628
0,074533	-0,228271
0,074594	-0,280151
0,074655	-0,214538
0,074716	-0,235290
0,074777	-0,250854
0,074838	-0,256653
0,074898	-0,272827
0,074959	-0,245666
0,075020	-0,254211
0,075081	-0,253296
0,075142	-0,234375
0,075203	-0,270996
0,075264	-0,255737
0,075325	-0,242920
0,075386	-0,241394
0,075447	-0,266113
0,075508	-0,250854
0,075569	-0,294495
0,075630	-0,291443
0,075691	-0,259399
0,075752	-0,285034
0,075813	-0,265808
0,075873	-0,261536
0,075934	-0,260925
0,075995	-0,290832
0,076056	-0,262756
0,076117	-0,261536
0,076178	-0,256958
0,076239	-0,274658
0,076300	-0,282593
0,076361	-0,259094
0,076422	-0,253601
0,076483	-0,252075
0,076544	-0,290832
0,076605	-0,249939
0,076666	-0,317383
0,076727	-0,299683
0,076788	-0,302124
0,076848	-0,271301
0,076909	-0,280762
0,076970	-0,293274
0,077031	-0,291748
0,077092	-0,307922
0,077153	-0,274658
0,077214	-0,302124
0,077275	-0,280762
0,077336	-0,277710
0,077397	-0,287170
0,077458	-0,328674
0,077519	-0,306396
0,077580	-0,304260
0,077641	-0,284729
0,077702	-0,292663
0,077762	-0,286560
0,077823	-0,311279
0,077884	-0,310059
0,077945	-0,318909
0,078006	-0,317078
0,078067	-0,366516
0,078128	-0,363159
0,078189	-0,326538
0,078250	-0,305176
0,078311	-0,338745
0,078372	-0,338440
0,078433	-0,336609
0,078494	-0,305481
0,078555	-0,340271
0,078616	-0,318603
0,078677	-0,339966
0,078737	-0,343933
0,078798	-0,316467
0,078859	-0,337219
0,078920	-0,318909
0,078981	-0,317078
0,079042	-0,313110
0,079103	-0,343323
0,079164	-0,346985
0,079225	-0,368347
0,079286	-0,366821
0,079347	-0,325317
0,079408	-0,321350
0,079469	-0,318603
0,079530	-0,314636
0,079591	-0,340576
0,079652	-0,352173
0,079713	-0,354004
0,079773	-0,299683
0,079834	-0,297546
0,079895	-0,342407
0,079956	-0,353088
0,080017	-0,361938
0,080078	-0,358581
0,080139	-0,355530
0,080200	-0,322876
0,080261	-0,363464
0,080322	-0,331116
0,080383	-0,329285
0,080444	-0,370483
0,080505	-0,362244
0,080566	-0,347595
0,080627	-0,319214
0,080688	-0,323181
0,080748	-0,358887
0,080809	-0,357971
0,080870	-0,341186
0,080931	-0,340576
0,080992	-0,367432
0,081053	-0,344238
0,081114	-0,344849
0,081175	-0,373230
0,081236	-0,370483
0,081297	-0,350647
0,081358	-0,359497
0,081419	-0,367432
0,081480	-0,366821
0,081541	-0,341797
0,081602	-0,352783
0,081662	-0,409851
0,081723	-0,370483
0,081784	-0,369568
0,081845	-0,375061
0,081906	-0,320129
0,081967	-0,377197
0,082028	-0,371094
0,082089	-0,382385
0,082150	-0,409546
0,082211	-0,371399
0,082272	-0,379333
0,082333	-0,377808
0,082394	-0,349121
0,082455	-0,376892
0,082516	-0,401001
0,082577	-0,351868
0,082638	-0,356445
0,082698	-0,363159
0,082759	-0,397644
0,082820	-0,401001
0,082881	-0,401306
0,082942	-0,398559
0,083003	-0,358887
0,083064	-0,356750
0,083125	-0,395203
0,083186	-0,397339
0,083247	-0,400391
0,083308	-0,382690
0,083369	-0,416565
0,083430	-0,416260
0,083491	-0,410461
0,083552	-0,429993
0,083612	-0,390015
0,083673	-0,408020
0,083734	-0,407410
0,083795	-0,396423
0,083856	-0,409851
0,083917	-0,396423
0,083978	-0,392151
0,084039	-0,388489
0,084100	-0,401001
0,084161	-0,425110
0,084222	-0,387573
0,084283	-0,388489
0,084344	-0,364685
0,084405	-0,403137
0,084466	-0,395813
0,084527	-0,417480
0,084588	-0,422363
0,084648	-0,377808
0,084709	-0,387268
0,084770	-0,408935
0,084831	-0,408630
0,084892	-0,368042
0,084953	-0,415955
0,085014	-0,388489
0,085075	-0,370788
0,085136	-0,372009
0,085197	-0,366516
0,085258	-0,392456
0,085319	-0,363769
0,085380	-0,361938
0,085441	-0,401001
0,085502	-0,385437
0,085562	-0,401611
0,085623	-0,404968
0,085684	-0,404053
0,085745	-0,354614
0,085806	-0,419617
0,085867	-0,422974
0,085928	-0,422363
0,085989	-0,412292
0,086050	-0,392761
0,086111	-0,405273
0,086172	-0,377502
0,086233	-0,375976
0,086294	-0,418091
0,086355	-0,381775
0,086416	-0,420532
0,086477	-0,376892
0,086537	-0,382080
0,086598	-0,408630
0,086659	-0,388489
0,086720	-0,405273
0,086781	-0,404358
0,086842	-0,407104
0,086903	-0,400391
0,086964	-0,398254
0,087025	-0,407715
0,087086	-0,409241
0,087147	-0,414123
0,087208	-0,569763
0,087269	-0,398559
0,087330	-0,399475
0,087391	-0,414123
0,087452	-0,397339
0,087513	-0,403747
0,087573	-0,399475
0,087634	-0,400391
0,087695	-0,390930
0,087756	-0,415344
0,087817	-0,431213
0,087878	-0,430908
0,087939	-0,375976
0,088000	-0,413818
0,088061	-0,441894
