Zeitstempel: 18.9.2013 14:14:57
Signalquelle: Sample/Hold Verstärker
Modus: AM


Bemerkung: Durchlaufzeit 100s
FM
Frequenz 1500Hz
Richtung min<-max
min Amplitude 0.01V
max Amplitude 0.40V

Amplitude in V	S/H-Signal in V
0.362280	-0.083313
0.362219	-0.078735
0.362158	-0.083313
0.362097	-0.034180
0.362036	-0.078125
0.361975	-0.097656
0.361914	-0.097961
0.361853	-0.056152
0.361792	-0.099792
0.361731	-0.023804
0.361670	-0.025330
0.361609	-0.064697
0.361548	-0.101318
0.361488	-0.055542
0.361427	-0.076599
0.361366	-0.054932
0.361305	-0.077820
0.361244	-0.052490
0.361183	-0.100403
0.361122	-0.099792
0.361061	-0.068359
0.361000	-0.105591
0.360939	-0.057068
0.360878	-0.097656
0.360817	-0.098572
0.360756	-0.111389
0.360695	-0.084228
0.360634	-0.069885
0.360573	-0.065002
0.360513	-0.084839
0.360452	-0.084228
0.360391	-0.055847
0.360330	-0.120850
0.360269	-0.117493
0.360208	-0.038147
0.360147	-0.087891
0.360086	-0.083618
0.360025	-0.069275
0.359964	-0.071716
0.359903	-0.085449
0.359842	-0.114136
0.359781	-0.105286
0.359720	-0.104065
0.359659	-0.064087
0.359598	-0.067749
0.359538	-0.076599
0.359477	-0.075684
0.359416	-0.075378
0.359355	-0.071716
0.359294	-0.089111
0.359233	-0.060730
0.359172	-0.058288
0.359111	-0.056763
0.359050	-0.078125
0.358989	-0.093384
0.358928	-0.078735
0.358867	-0.077820
0.358806	-0.087585
0.358745	-0.099792
0.358684	-0.085754
0.358623	-0.083923
0.358563	-0.109253
0.358502	-0.072327
0.358441	-0.090942
0.358380	-0.063171
0.358319	-0.061035
0.358258	-0.096435
0.358197	-0.075989
0.358136	-0.068054
0.358075	-0.067444
0.358014	-0.094604
0.357953	-0.065002
0.357892	-0.094604
0.357831	-0.093384
0.357770	-0.093994
0.357709	-0.093079
0.357648	-0.103149
0.357588	-0.054016
0.357527	-0.105591
0.357466	-0.098267
0.357405	-0.086059
0.357344	-0.103149
0.357283	-0.149841
0.357222	-0.147705
0.357161	-0.043335
0.357100	-0.092468
0.357039	-0.083618
0.356978	-0.072327
0.356917	-0.074158
0.356856	-0.094910
0.356795	-0.106506
0.356734	-0.105286
0.356673	-0.104370
0.356613	-0.085449
0.356552	-0.082703
0.356491	-0.083008
0.356430	-0.104980
0.356369	-0.104370
0.356308	-0.072327
0.356247	-0.088806
0.356186	-0.046081
0.356125	-0.043945
0.356064	-0.093079
0.356003	-0.059814
0.355942	-0.099487
0.355881	-0.103455
0.355820	-0.103760
0.355759	-0.115967
0.355698	-0.086670
0.355637	-0.086975
0.355577	-0.104370
0.355516	-0.104065
0.355455	-0.102539
0.355394	-0.129394
0.355333	-0.062866
0.355272	-0.061645
0.355211	-0.034485
0.355150	-0.087891
0.355089	-0.109253
0.355028	-0.088501
0.354967	-0.088196
0.354906	-0.080261
0.354845	-0.096435
0.354784	-0.107117
0.354723	-0.105286
0.354663	-0.076599
0.354602	-0.116272
0.354541	-0.077209
0.354480	-0.066223
0.354419	-0.067444
0.354358	-0.087280
0.354297	-0.060120
0.354236	-0.087891
0.354175	-0.023498
0.354114	-0.024414
0.354053	-0.050659
0.353992	-0.093079
0.353931	-0.100708
0.353870	-0.098267
0.353809	-0.058288
0.353748	-0.044861
0.353687	-0.013122
0.353627	-0.053100
0.353566	-0.053711
0.353505	-0.101013
0.353444	-0.090637
0.353383	-0.084839
0.353322	-0.084228
0.353261	-0.079040
0.353200	-0.090332
0.353139	-0.089722
0.353078	-0.073852
0.353017	-0.073242
0.352956	-0.069275
0.352895	-0.035400
0.352834	-0.042419
0.352773	-0.039673
0.352712	-0.079956
0.352652	-0.082397
0.352591	-0.090027
0.352530	-0.066528
0.352469	-0.065613
0.352408	-0.083008
0.352347	-0.081177
0.352286	-0.079956
0.352225	-0.078430
0.352164	-0.055237
0.352103	-0.063171
0.352042	-0.091858
0.351981	-0.050659
0.351920	-0.048218
0.351859	-0.044250
0.351798	-0.069580
0.351738	-0.083008
0.351677	-0.082092
0.351616	-0.083923
0.351555	-0.105286
0.351494	-0.087891
0.351433	-0.052185
0.351372	-0.051269
0.351311	-0.090027
0.351250	-0.076599
0.351189	-0.051880
0.351128	-0.083618
0.351067	-0.082703
0.351006	-0.061340
0.350945	-0.090637
0.350884	-0.079956
0.350823	-0.076599
0.350762	-0.093689
0.350702	-0.079956
0.350641	-0.078125
0.350580	-0.080871
0.350519	-0.079956
0.350458	-0.073242
0.350397	-0.064392
0.350336	-0.037842
0.350275	-0.096435
0.350214	-0.096435
0.350153	-0.074158
0.350092	-0.081177
0.350031	-0.093079
0.349970	-0.090942
0.349909	-0.097351
0.349848	-0.054321
0.349788	-0.077820
0.349727	-0.079346
0.349666	-0.076599
0.349605	-0.137634
0.349544	-0.064087
0.349483	-0.028686
0.349422	-0.027161
0.349361	-0.064697
0.349300	-0.085754
0.349239	-0.081482
0.349178	-0.084228
0.349117	-0.080871
0.349056	-0.049744
0.348995	-0.093689
0.348934	-0.070190
0.348873	-0.068664
0.348813	-0.068359
0.348752	-0.061645
0.348691	-0.093994
0.348630	-0.093994
0.348569	-0.091247
0.348508	-0.099182
0.348447	-0.065918
0.348386	-0.098572
0.348325	-0.079040
0.348264	-0.080566
0.348203	-0.043030
0.348142	-0.075073
0.348081	-0.055237
0.348020	-0.056763
